dataset,gap,method,mae,rmse,max_error,coverage,time_ms,gap_fraction,n_az,n_rg,az_res_deg,width_pixels
mixed,hole_rect,linear_1d_az,0.058823031866905254,0.07390617070481376,0.2138269837582546,1.0,17.258457955904305,0.03304722222222222,720,1000,0.5,5.0
mixed,hole_rect,linear_2d_griddata,0.046068118421544894,0.059835069556239164,0.17639788867025885,1.0,32766.617292072624,0.03304722222222222,720,1000,0.5,5.0
mixed,hole_rect,astropy_gaussian,0.016971323135913385,0.023073311494329087,0.07657838960942609,0.194460788434059,95.71291599422693,0.03304722222222222,720,1000,0.5,5.0
mixed,hole_rect,iterative_dct,0.06494290215452343,0.0848719521962425,0.20643965149511334,1.0,78.06887500919402,0.03304722222222222,720,1000,0.5,5.0
mixed,sector_10deg,linear_1d_az,0.037394705705865255,0.0524383710011123,0.15357920125877825,1.0,17.383832950145006,0.027777777777777776,720,1000,0.5,5.0
mixed,sector_10deg,linear_2d_griddata,0.037409723629468566,0.052687936672087626,0.15312817067343126,1.0,33160.4861660162,0.027777777777777776,720,1000,0.5,5.0
mixed,sector_10deg,astropy_gaussian,0.040645343730902575,0.05620875814108312,0.3247707069131063,0.6,88.86008302215487,0.027777777777777776,720,1000,0.5,5.0
mixed,sector_10deg,iterative_dct,0.03738254075226841,0.052401849160462144,0.15343973782378903,1.0,53.50908311083913,0.027777777777777776,720,1000,0.5,5.0
edge,random_10,linear_1d_az,0.00018407043301958852,0.0008956097592235916,0.030932949853198277,1.0,22.042499971576035,0.10028888888888889,720,1000,0.5,5.0
edge,random_10,linear_2d_griddata,2.3233520146874272e-06,1.2007225235348424e-05,0.000561909405999983,1.0,29258.142457925715,0.10028888888888889,720,1000,0.5,5.0
edge,random_10,astropy_gaussian,0.0010097810517092813,0.009821104481764487,0.24080275873697887,1.0,156.9599580252543,0.10028888888888889,720,1000,0.5,5.0
edge,random_10,iterative_dct,7.103559003168665e-05,0.000240338852033164,0.0041465165758508005,1.0,98.69220794644207,0.10028888888888889,720,1000,0.5,5.0
edge,random_30,linear_1d_az,0.00030326883701578,0.0017053496683903883,0.08635151786384421,1.0,28.70566595811397,0.2999291666666667,720,1000,0.5,5.0
edge,random_30,linear_2d_griddata,3.866757504533677e-06,2.712027267018906e-05,0.005755420861015548,1.0,23990.44958304148,0.2999291666666667,720,1000,0.5,5.0
edge,random_30,astropy_gaussian,0.0010926803501104083,0.009638756525114698,0.2903910264320452,1.0,326.70029101427644,0.2999291666666667,720,1000,0.5,5.0
edge,random_30,iterative_dct,8.257572951021638e-05,0.00027697788266224833,0.004609702759371892,1.0,107.71225008647889,0.2999291666666667,720,1000,0.5,5.0
edge,random_50,linear_1d_az,0.0005953478062281174,0.003771864573674572,0.18196015882652394,1.0,33.04704208858311,0.4999958333333333,720,1000,0.5,5.0
edge,random_50,linear_2d_griddata,7.928274885922363e-06,7.964455515205041e-05,0.025472137377796855,1.0,16918.83149999194,0.4999958333333333,720,1000,0.5,5.0
edge,random_50,astropy_gaussian,0.0012441295960730222,0.010066179334915078,0.35844701730769846,1.0,475.6756250280887,0.4999958333333333,720,1000,0.5,5.0
edge,random_50,iterative_dct,0.00011027526249249021,0.00034982615835944727,0.005383322902151044,1.0,151.25399990938604,0.4999958333333333,720,1000,0.5,5.0
edge,random_70,linear_1d_az,0.0014880155311570754,0.009049106818070717,0.2965390003895274,1.0,28.62683404237032,0.7001180555555555,720,1000,0.5,5.0
edge,random_70,linear_2d_griddata,2.266346939995676e-05,0.00020813715293652263,0.06399763732814207,1.0,10076.637333957478,0.7001180555555555,720,1000,0.5,5.0
edge,random_70,astropy_gaussian,0.001532651540235781,0.011041139875537755,0.4588997600797456,1.0,295.5800419440493,0.7001180555555555,720,1000,0.5,5.0
edge,random_70,iterative_dct,0.00017400535617891262,0.0005102090638129438,0.007008531250866978,1.0,236.47687502671033,0.7001180555555555,720,1000,0.5,5.0
edge,hole_circular,linear_1d_az,0.000306612193657456,0.0004977559471811017,0.0014682357118404044,1.0,17.088624997995794,0.02582638888888889,720,1000,0.5,5.0
edge,hole_circular,linear_2d_griddata,0.0003695019122277656,0.0005972233226848628,0.0016351893424534358,1.0,34391.43650000915,0.02582638888888889,720,1000,0.5,5.0
edge,hole_circular,astropy_gaussian,0.0002822153965088411,0.0005380269273255631,0.001785663810421334,0.19757999462221026,87.5447919825092,0.02582638888888889,720,1000,0.5,5.0
edge,hole_circular,iterative_dct,0.0021258715534353736,0.0024923694283015213,0.004623081079631608,1.0,40.31329206191003,0.02582638888888889,720,1000,0.5,5.0
edge,hole_rect,linear_1d_az,0.0012078587702345528,0.0020888997697595477,0.005933537171326275,1.0,17.32824998907745,0.03304722222222222,720,1000,0.5,5.0
edge,hole_rect,linear_2d_griddata,0.0010097021832645718,0.0014886419180308193,0.003142621035564286,1.0,34987.67037503421,0.03304722222222222,720,1000,0.5,5.0
edge,hole_rect,astropy_gaussian,0.0004401811310815402,0.0008067235299081105,0.0025291406920229242,0.194460788434059,88.58287497423589,0.03304722222222222,720,1000,0.5,5.0
edge,hole_rect,iterative_dct,0.002478915866951148,0.0028444806735942,0.004664398616981313,1.0,44.172416906803846,0.03304722222222222,720,1000,0.5,5.0
edge,sector_10deg,linear_1d_az,0.10656946096043518,0.1404524488556678,0.3369136545989072,1.0,17.058333032764494,0.027777777777777776,720,1000,0.5,5.0
edge,sector_10deg,linear_2d_griddata,0.10654738489884814,0.14120677761987874,0.58756835103036,1.0,34029.39179202076,0.027777777777777776,720,1000,0.5,5.0
edge,sector_10deg,astropy_gaussian,0.10342087939995728,0.16260888266010506,0.5046176340975898,0.6,87.8697499865666,0.027777777777777776,720,1000,0.5,5.0
edge,sector_10deg,iterative_dct,0.10656928218243572,0.1404506724451018,0.3368544704308949,1.0,52.394666941836476,0.027777777777777776,720,1000,0.5,5.0
